Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	analysis_type	flowcell_barcode	genotype	gssr_id	instrument_name	lane	lsid	product_order	product_part_number	project	read_group_id	research_project	root_sample_id	run_barcode	run_name	sample_id	source_name	strain	work_request	Consent	LibrarySource
RNA-Seq	Candida_albicans_SC5314.v1	152	PRJNA236193	SAMN02595190	BI	sra	ncbi			SRX481837	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-04-18	419	259	Candida albicans RNA_CTR0-1	ILLUMINA	2014-03-10	SRR1186223	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7H9DADXX		485081.0	SL-HBV	1	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7H9D.1	RP-193	SM-49M5P	H7H9DADXX140228	140228_SL-HBV_0335_AFCH7H9DADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236193	SAMN02595190	BI	sra	ncbi			SRX516428	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-04-13	729	981	Candida albicans RNA_CTR0-1	ILLUMINA	2014-04-13	SRR1237070	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7TV6ADXX		485081.0	SL-HDG	2	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7TV6.2	RP-193	SM-49M5P	H7TV6ADXX140408	140408_SL-HDG_0369_AFCH7TV6ADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236193	SAMN02595190	BI	sra	ncbi			SRX516432	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-04-13	652	943	Candida albicans RNA_CTR0-1	ILLUMINA	2014-04-13	SRR1237074	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7U2UADXX		485081.0	SL-HDG	2	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7U2U.2	RP-193	SM-49M5P	H7U2UADXX140408	140408_SL-HDG_0370_BFCH7U2UADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236193	SAMN02595190	BI	sra	ncbi			SRX516428	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-04-13	720	977	Candida albicans RNA_CTR0-1	ILLUMINA	2014-04-13	SRR1237099	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7TV6ADXX		485081.0	SL-HDG	1	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7TV6.1	RP-193	SM-49M5P	H7TV6ADXX140408	140408_SL-HDG_0369_AFCH7TV6ADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236193	SAMN02595190	BI	sra	ncbi			SRX516432	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-04-13	655	944	Candida albicans RNA_CTR0-1	ILLUMINA	2014-04-13	SRR1237114	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7U2UADXX		485081.0	SL-HDG	1	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7U2U.1	RP-193	SM-49M5P	H7U2UADXX140408	140408_SL-HDG_0370_BFCH7U2UADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236193	SAMN02595190	BI	sra	ncbi			SRX516447	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-04-13	665	940	Candida albicans RNA_CTR0-1	ILLUMINA	2014-04-13	SRR1237120	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7U2RADXX		485081.0	SL-HDJ	1	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7U2R.1	RP-193	SM-49M5P	H7U2RADXX140408	140408_SL-HDJ_0362_AFCH7U2RADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236193	SAMN02595190	BI	sra	ncbi			SRX516447	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-04-13	661	939	Candida albicans RNA_CTR0-1	ILLUMINA	2014-04-13	SRR1237121	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7U2RADXX		485081.0	SL-HDJ	2	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7U2R.2	RP-193	SM-49M5P	H7U2RADXX140408	140408_SL-HDJ_0362_AFCH7U2RADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236193	SAMN02595190	BI	sra	ncbi			SRX516468	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-04-13	634	931	Candida albicans RNA_CTR0-1	ILLUMINA	2014-04-13	SRR1237196	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7U2WADXX		485081.0	SL-HDJ	2	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7U2W.2	RP-193	SM-49M5P	H7U2WADXX140408	140408_SL-HDJ_0363_BFCH7U2WADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236193	SAMN02595190	BI	sra	ncbi			SRX516468	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-04-13	632	930	Candida albicans RNA_CTR0-1	ILLUMINA	2014-04-13	SRR1237211	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7U2WADXX		485081.0	SL-HDJ	1	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7U2W.1	RP-193	SM-49M5P	H7U2WADXX140408	140408_SL-HDJ_0363_BFCH7U2WADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236193	SAMN02595190	BI	sra	ncbi			SRX516487	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-04-13	640	934	Candida albicans RNA_CTR0-1	ILLUMINA	2014-04-13	SRR1237284	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7TVTADXX		485081.0	SL-HDH	2	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7TVT.2	RP-193	SM-49M5P	H7TVTADXX140408	140408_SL-HDH_0396_AFCH7TVTADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236193	SAMN02595190	BI	sra	ncbi			SRX516590	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-04-14	724	962	Candida albicans RNA_CTR0-1	ILLUMINA	2014-04-14	SRR1237719	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7TV8ADXX		485081.0	SL-HDH	2	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7TV8.2	RP-193	SM-49M5P	H7TV8ADXX140408	140408_SL-HDH_0397_BFCH7TV8ADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236193	SAMN02595190	BI	sra	ncbi			SRX516590	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-04-14	727	966	Candida albicans RNA_CTR0-1	ILLUMINA	2014-04-14	SRR1237758	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7TV8ADXX		485081.0	SL-HDH	1	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7TV8.1	RP-193	SM-49M5P	H7TV8ADXX140408	140408_SL-HDH_0397_BFCH7TV8ADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236193	SAMN02595190	BI	sra	sra-sos	sra-sos.public		SRX516487	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219668	2014-05-07	649	935	Candida albicans RNA_CTR0-1	ILLUMINA	2014-05-07	SRR1273794	SRS559440	SRP038189	RNA_CTR0-1	Resequencing	H7TVTADXX		485081.0	SL-HDH	1	broadinstitute.org:bsp.prod.sample:5FV7P	PDO-2786	P-RNA-0004	G57483	H7TVT.1	RP-193	SM-49M5P	H7TVTADXX140408	140408_SL-HDH_0396_AFCH7TVTADXX	SM-5FV7P			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX473051	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-02-19	441	283	Candida albicans RNA_CTR0-2	ILLUMINA	2014-02-19	SRR1172076	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H77FAADXX		485083.0	SL-HBV	1	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H77FA.1	RP-193	SM-49M5Q	H77FAADXX140213	140213_SL-HBV_0318_AFCH77FAADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX473083	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-02-19	385	235	Candida albicans RNA_CTR0-2	ILLUMINA	2014-02-19	SRR1172216	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7AUFADXX		485083.0	SL-HDG	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7AUF.2	RP-193	SM-49M5Q	H7AUFADXX140211	140211_SL-HDG_0301_AFCH7AUFADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX473051	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-02-19	435	277	Candida albicans RNA_CTR0-2	ILLUMINA	2014-02-19	SRR1172236	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H77FAADXX		485083.0	SL-HBV	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H77FA.2	RP-193	SM-49M5Q	H77FAADXX140213	140213_SL-HBV_0318_AFCH77FAADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX473109	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-02-19	440	281	Candida albicans RNA_CTR0-2	ILLUMINA	2014-02-19	SRR1172384	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7BBMADXX		485083.0	SL-HBV	1	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7BBM.1	RP-193	SM-49M5Q	H7BBMADXX140213	140213_SL-HBV_0319_BFCH7BBMADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX473109	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-02-19	443	283	Candida albicans RNA_CTR0-2	ILLUMINA	2014-02-19	SRR1172389	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7BBMADXX		485083.0	SL-HBV	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7BBM.2	RP-193	SM-49M5Q	H7BBMADXX140213	140213_SL-HBV_0319_BFCH7BBMADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX473125	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-02-19	434	268	Candida albicans RNA_CTR0-2	ILLUMINA	2014-02-19	SRR1172419	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7BBDADXX		485083.0	SL-HDF	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7BBD.2	RP-193	SM-49M5Q	H7BBDADXX140213	140213_SL-HDF_0369_BFCH7BBDADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236194	SAMN02595191	BI	sra	sra-sos	sra-sos.public		SRX473252	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-02-20	393	247	Candida albicans RNA_CTR0-2	ILLUMINA	2014-02-20	SRR1172670	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7BB7ADXX		485083.0	SL-HDG	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7BB7.2	RP-193	SM-49M5Q	H7BB7ADXX140214	140214_SL-HDG_0308_BFCH7BB7ADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX473252	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-02-24	415	263	Candida albicans RNA_CTR0-2	ILLUMINA	2014-02-24	SRR1175267	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7BB7ADXX		485083.0	SL-HDG	1	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7BB7.1	RP-193	SM-49M5Q	H7BB7ADXX140214	140214_SL-HDG_0308_BFCH7BB7ADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	Candida_albicans_SC5314.v1	152	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX481711	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-18	378	239	Candida albicans RNA_CTR0-2	ILLUMINA	2014-03-06	SRR1184269	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7H44ADXX		485083.0	SL-HBV	1	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7H44.1	RP-193	SM-49M5Q	H7H44ADXX140228	140228_SL-HBV_0336_BFCH7H44ADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	Candida_albicans_SC5314.v1	152	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX481711	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-18	384	245	Candida albicans RNA_CTR0-2	ILLUMINA	2014-03-06	SRR1184278	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7H44ADXX		485083.0	SL-HBV	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7H44.2	RP-193	SM-49M5Q	H7H44ADXX140228	140228_SL-HBV_0336_BFCH7H44ADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	Candida_albicans_SC5314.v1	152	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX481844	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-18	391	242	Candida albicans RNA_CTR0-2	ILLUMINA	2014-03-06	SRR1184409	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7H9DADXX		485083.0	SL-HBV	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7H9D.2	RP-193	SM-49M5Q	H7H9DADXX140228	140228_SL-HBV_0335_AFCH7H9DADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	Candida_albicans_SC5314.v1	152	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX481844	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-18	396	246	Candida albicans RNA_CTR0-2	ILLUMINA	2014-03-10	SRR1186228	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7H9DADXX		485083.0	SL-HBV	1	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7H9D.1	RP-193	SM-49M5Q	H7H9DADXX140228	140228_SL-HBV_0335_AFCH7H9DADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX516409	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-13	636	937	Candida albicans RNA_CTR0-2	ILLUMINA	2014-04-13	SRR1237032	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7TV6ADXX		485083.0	SL-HDG	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7TV6.2	RP-193	SM-49M5Q	H7TV6ADXX140408	140408_SL-HDG_0369_AFCH7TV6ADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX516410	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-13	561	900	Candida albicans RNA_CTR0-2	ILLUMINA	2014-04-13	SRR1237033	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7U2UADXX		485083.0	SL-HDG	1	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7U2U.1	RP-193	SM-49M5Q	H7U2UADXX140408	140408_SL-HDG_0370_BFCH7U2UADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX516426	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-13	596	910	Candida albicans RNA_CTR0-2	ILLUMINA	2014-04-13	SRR1237068	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7U2RADXX		485083.0	SL-HDJ	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7U2R.2	RP-193	SM-49M5Q	H7U2RADXX140408	140408_SL-HDJ_0362_AFCH7U2RADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX516409	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-13	627	934	Candida albicans RNA_CTR0-2	ILLUMINA	2014-04-13	SRR1237096	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7TV6ADXX		485083.0	SL-HDG	1	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7TV6.1	RP-193	SM-49M5Q	H7TV6ADXX140408	140408_SL-HDG_0369_AFCH7TV6ADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX516410	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-13	558	898	Candida albicans RNA_CTR0-2	ILLUMINA	2014-04-13	SRR1237105	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7U2UADXX		485083.0	SL-HDG	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7U2U.2	RP-193	SM-49M5Q	H7U2UADXX140408	140408_SL-HDG_0370_BFCH7U2UADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX516426	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-13	600	911	Candida albicans RNA_CTR0-2	ILLUMINA	2014-04-13	SRR1237118	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7U2RADXX		485083.0	SL-HDJ	1	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7U2R.1	RP-193	SM-49M5Q	H7U2RADXX140408	140408_SL-HDJ_0362_AFCH7U2RADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX516471	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-13	544	889	Candida albicans RNA_CTR0-2	ILLUMINA	2014-04-13	SRR1237199	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7U2WADXX		485083.0	SL-HDJ	1	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7U2W.1	RP-193	SM-49M5Q	H7U2WADXX140408	140408_SL-HDJ_0363_BFCH7U2WADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX516471	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-13	544	889	Candida albicans RNA_CTR0-2	ILLUMINA	2014-04-13	SRR1237204	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7U2WADXX		485083.0	SL-HDJ	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7U2W.2	RP-193	SM-49M5Q	H7U2WADXX140408	140408_SL-HDJ_0363_BFCH7U2WADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX516500	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-13	560	895	Candida albicans RNA_CTR0-2	ILLUMINA	2014-04-13	SRR1237313	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7TVTADXX		485083.0	SL-HDH	1	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7TVT.1	RP-193	SM-49M5Q	H7TVTADXX140408	140408_SL-HDH_0396_AFCH7TVTADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX516500	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-13	551	893	Candida albicans RNA_CTR0-2	ILLUMINA	2014-04-13	SRR1237323	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7TVTADXX		485083.0	SL-HDH	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7TVT.2	RP-193	SM-49M5Q	H7TVTADXX140408	140408_SL-HDH_0396_AFCH7TVTADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX516586	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-14	650	930	Candida albicans RNA_CTR0-2	ILLUMINA	2014-04-14	SRR1237709	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7TV8ADXX		485083.0	SL-HDH	2	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7TV8.2	RP-193	SM-49M5Q	H7TV8ADXX140408	140408_SL-HDH_0397_BFCH7TV8ADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA236194	SAMN02595191	BI	sra	ncbi			SRX516586	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219675	2014-04-14	654	933	Candida albicans RNA_CTR0-2	ILLUMINA	2014-04-14	SRR1237756	SRS559443	SRP038192	RNA_CTR0-2	Resequencing	H7TV8ADXX		485083.0	SL-HDH	1	broadinstitute.org:bsp.prod.sample:5FV7W	PDO-2786	P-RNA-0004	G57484	H7TV8.1	RP-193	SM-49M5Q	H7TV8ADXX140408	140408_SL-HDH_0397_BFCH7TV8ADXX	SM-5FV7W			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236189	SAMN02595186	BI	sra	ncbi			SRX473058	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219694	2014-02-19	397	244	Candida albicans RNA_GC75-3	ILLUMINA	2014-02-19	SRR1172126	SRS559449	SRP038195	RNA_GC75-3	Resequencing	H7AUFADXX		485087.0	SL-HDG	2	broadinstitute.org:bsp.prod.sample:5FV8G	PDO-2786	P-RNA-0004	G57479	H7AUF.2	RP-193	SM-49M5L	H7AUFADXX140211	140211_SL-HDG_0301_AFCH7AUFADXX	SM-5FV8G			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236189	SAMN02595186	BI	sra	ncbi			SRX473095	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219694	2014-02-19	442	283	Candida albicans RNA_GC75-3	ILLUMINA	2014-02-19	SRR1172307	SRS559449	SRP038195	RNA_GC75-3	Resequencing	H77FAADXX		485087.0	SL-HBV	2	broadinstitute.org:bsp.prod.sample:5FV8G	PDO-2786	P-RNA-0004	G57479	H77FA.2	RP-193	SM-49M5L	H77FAADXX140213	140213_SL-HBV_0318_AFCH77FAADXX	SM-5FV8G			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236189	SAMN02595186	BI	sra	ncbi			SRX473095	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219694	2014-02-19	452	290	Candida albicans RNA_GC75-3	ILLUMINA	2014-02-19	SRR1172386	SRS559449	SRP038195	RNA_GC75-3	Resequencing	H77FAADXX		485087.0	SL-HBV	1	broadinstitute.org:bsp.prod.sample:5FV8G	PDO-2786	P-RNA-0004	G57479	H77FA.1	RP-193	SM-49M5L	H77FAADXX140213	140213_SL-HBV_0318_AFCH77FAADXX	SM-5FV8G			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236189	SAMN02595186	BI	sra	ncbi			SRX473119	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219694	2014-02-19	451	288	Candida albicans RNA_GC75-3	ILLUMINA	2014-02-19	SRR1172403	SRS559449	SRP038195	RNA_GC75-3	Resequencing	H7BBMADXX		485087.0	SL-HBV	2	broadinstitute.org:bsp.prod.sample:5FV8G	PDO-2786	P-RNA-0004	G57479	H7BBM.2	RP-193	SM-49M5L	H7BBMADXX140213	140213_SL-HBV_0319_BFCH7BBMADXX	SM-5FV8G			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236189	SAMN02595186	BI	sra	ncbi			SRX473119	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219694	2014-02-19	446	286	Candida albicans RNA_GC75-3	ILLUMINA	2014-02-19	SRR1172421	SRS559449	SRP038195	RNA_GC75-3	Resequencing	H7BBMADXX		485087.0	SL-HBV	1	broadinstitute.org:bsp.prod.sample:5FV8G	PDO-2786	P-RNA-0004	G57479	H7BBM.1	RP-193	SM-49M5L	H7BBMADXX140213	140213_SL-HBV_0319_BFCH7BBMADXX	SM-5FV8G			39967	public	TRANSCRIPTOMIC
RNA-Seq	assembly	152	PRJNA236189	SAMN02595186	BI	sra	sra-sos	sra-sos.public		SRX473245	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-219694	2014-02-20	413	260	Candida albicans RNA_GC75-3	ILLUMINA	2014-02-20	SRR1172665	SRS559449	SRP038195	RNA_GC75-3	Resequencing	H7BB7ADXX		485087.0	SL-HDG	2	broadinstitute.org:bsp.prod.sample:5FV8G	PDO-2786	P-RNA-0004	G57479	H7BB7.2	RP-193	SM-49M5L	H7BB7ADXX140214	140214_SL-HDG_0308_BFCH7BB7ADXX	SM-5FV8G			39967	public	TRANSCRIPTOMIC
